hand1_str,hand2_str,equity_hand1,equity_hand2
AQs,K6o,0.6642,0.3358
AQs,Q6o,0.7622,0.2378
AQs,J6o,0.69295,0.30705000000000005
AQs,T6o,0.68215,0.31784999999999997
AQs,96o,0.6533,0.3467
AQs,86o,0.6516,0.34840000000000004
AQs,76o,0.6503,0.3497
AQs,66,0.4855,0.5145
AQs,65s,0.5962,0.40380000000000005
AQs,64s,0.6202,0.3798
AQs,63s,0.6708,0.32920000000000005
AQs,62s,0.67105,0.32894999999999996
AQs,A5o,0.69025,0.30974999999999997
AQs,K5o,0.6531,0.3469
AQs,Q5o,0.7726,0.22740000000000005
AQs,J5o,0.6905,0.3095
AQs,T5o,0.698,0.30200000000000005
AQs,95o,0.68225,0.31775
AQs,85o,0.66265,0.33735000000000004
AQs,75o,0.6567,0.34330000000000005
AQs,65o,0.63815,0.36185
AQs,55,0.47895,0.52105
AQs,54s,0.60885,0.39115
AQs,53s,0.6214,0.37860000000000005
AQs,52s,0.62935,0.37065000000000003
AQs,A4o,0.74235,0.25765000000000005
AQs,K4o,0.67045,0.32955
AQs,Q4o,0.7768,0.22319999999999995
AQs,J4o,0.7031,0.29690000000000005
AQs,T4o,0.69205,0.30794999999999995
AQs,94o,0.6883,0.3117
AQs,84o,0.6784,0.3216
AQs,74o,0.6616,0.33840000000000003
AQs,64o,0.6548,0.34519999999999995
AQs,54o,0.6439,0.35609999999999997
AQs,44,0.48295,0.51705
AQs,43s,0.6216,0.37839999999999996
AQs,42s,0.63795,0.36205
AQs,A3o,0.74085,0.25915
AQs,K3o,0.66135,0.33865
AQs,Q3o,0.7756,0.22440000000000004
AQs,J3o,0.69545,0.30455
AQs,T3o,0.70205,0.29795000000000005
AQs,93o,0.6925,0.3075
AQs,83o,0.68575,0.31425000000000003
AQs,73o,0.68035,0.31965
AQs,63o,0.67125,0.32875
AQs,53o,0.656,0.344
AQs,43o,0.65085,0.34914999999999996
AQs,33,0.49585,0.50415
AQs,32s,0.63655,0.36345000000000005
AQs,A2o,0.7458,0.2542
AQs,K2o,0.6741,0.32589999999999997
AQs,Q2o,0.78325,0.21675
AQs,J2o,0.6972,0.30279999999999996
AQs,T2o,0.7022,0.29779999999999995
AQs,92o,0.69255,0.30745
AQs,82o,0.6927,0.3073
AQs,72o,0.69605,0.30395000000000005
AQs,62o,0.68735,0.31265
AQs,52o,0.6692,0.3308
AQs,42o,0.67485,0.32515000000000005
AQs,32o,0.6858,0.31420000000000003
AQs,22,0.50555,0.49444999999999995
AJs,ATs,0.6971,0.30289999999999995
AJs,A9s,0.69845,0.30155
AJs,A8s,0.6975,0.3025
AJs,A7s,0.6968,0.3032
AJs,A6s,0.70145,0.29855
AJs,A5s,0.68305,0.31694999999999995
AJs,A4s,0.6848,0.31520000000000004
AJs,A3s,0.6855,0.3145
AJs,A2s,0.69645,0.30355
AJs,AKo,0.30605,0.6939500000000001
AJs,KK,0.3257,0.6743
AJs,KQs,0.57685,0.42315
AJs,KJs,0.75275,0.24724999999999997
